Model,Type,r,p,Explainable,Rank
Random Forest,Ensemble ML,0.5642606498888293,7.58903401158658e-11,Partial,1
Ensemble (RF+GB+XGB),Ensemble,0.5540272405776037,1.9455688782851337e-10,No,2
Gradient Boosting,Ensemble ML,0.5351372585991832,1.0195789608175128e-09,Partial,3
XGBoost (Yours),Neuro-Symbolic,0.5256970952524975,2.2470110300449183e-09,Yes,4
Lasso Regression,Traditional ML,0.4360456186191337,1.3821936482279676e-06,Partial,5
Ridge Regression,Traditional ML,0.4162796842623366,4.521822116507969e-06,Partial,6
Linear Regression,Traditional ML,0.4155176535679314,4.726224346162025e-06,Partial,7
Trust Score Only,Symbolic,0.19359137800444215,0.03992711999115643,Yes,8
Random,Baseline,0.06775978853174808,0.47577899850169486,No,9
